amount,location_changed,new_device,failed_attempts,velocity,fraud
34142,0,0,0,2,0
39582,0,1,0,2,0
55921,0,1,1,2,0
86039,1,1,7,4,1
125975,1,1,4,5,1
11095,1,1,3,1,1
16262,1,1,0,4,0
33206,1,1,3,7,1
3846,0,1,1,4,0
51872,0,1,0,0,0
19587,1,0,0,4,0
16462,0,0,3,1,0
45420,1,0,1,2,1
66291,0,1,1,2,1
31270,1,0,0,3,0
20186,0,1,2,3,0
100298,0,1,7,8,1
37867,0,0,3,0,0
35788,0,0,0,1,0
33707,0,0,0,3,0
146079,1,1,3,2,1
80472,1,1,5,5,1
70251,0,0,1,3,1
36144,1,0,0,1,0
2607,0,1,1,2,0
144939,0,0,1,8,1
54933,0,1,1,0,0
99704,0,1,5,1,1
33449,0,0,3,3,0
17148,1,1,7,1,1
146203,1,1,3,2,1
14769,1,1,1,7,1
11709,0,0,3,4,0
117328,1,1,0,5,1
51251,1,1,0,1,0
74479,0,1,6,6,1
24956,0,0,1,2,0
27859,0,0,2,4,0
105419,1,1,6,7,1
29056,0,0,2,4,0
36895,1,1,0,2,0
103426,1,1,1,2,1
53736,0,0,0,1,0
8445,0,0,2,4,0
90435,1,1,5,6,1
33024,0,0,0,1,0
31130,1,1,0,4,1
90378,1,1,2,2,1
4499,0,0,0,3,0
17298,1,1,5,1,1
9860,1,1,0,2,0
74878,1,1,2,3,1
64376,0,1,2,2,1
42482,0,0,3,2,0
43397,0,0,3,4,0
54453,0,1,3,6,1
71241,1,1,3,3,1
58408,0,1,0,2,0
123513,1,1,3,0,1
32906,0,1,0,2,0
115334,0,0,2,6,1
141469,1,0,2,0,1
149410,1,1,0,7,1
5128,0,1,1,4,0
32494,0,0,1,1,0
38577,0,0,1,0,0
65033,1,1,4,5,1
140755,0,1,7,8,1
91806,1,1,1,8,1
35900,0,0,1,3,0
24000,1,1,2,4,1
144139,1,1,6,7,1
130267,1,1,0,5,1
37059,0,1,3,3,0
5853,0,0,2,0,0
3695,1,1,5,4,1
36292,0,0,0,0,0
68487,1,1,1,2,1
97007,0,1,7,1,1
17723,0,0,1,1,0
71957,1,1,4,1,1
53240,1,1,1,4,1
241,0,0,3,3,0
41015,1,1,2,2,0
133537,1,0,0,1,1
14069,1,0,0,2,0
37445,1,0,0,0,0
24208,0,1,2,6,1
63329,1,1,4,5,1
141365,1,1,0,7,1
70283,1,1,6,2,1
4554,0,0,0,4,0
22370,0,0,0,1,0
4752,0,0,0,0,0
115864,1,1,2,2,1
77706,0,1,3,1,1
48313,0,0,1,3,0
27227,0,1,3,1,0
40186,1,0,2,4,0
91877,1,1,0,6,1
26004,1,1,1,1,1
17204,0,0,2,2,0
39131,1,1,2,0,1
90130,1,1,7,5,1
136966,1,0,4,3,1
38679,0,0,0,0,0
49309,0,0,0,2,0
83311,1,1,1,2,1
76572,1,1,7,3,1
114399,1,1,7,8,1
910,1,1,2,4,0
132444,0,0,7,2,1
57558,0,0,0,4,0
99154,1,1,0,0,1
56619,1,1,0,4,1
46187,1,1,2,3,1
49400,1,1,7,4,1
36401,0,1,0,0,0
59925,0,1,7,4,1
42429,0,0,3,0,0
26231,0,0,0,3,0
55433,0,0,1,4,0
15872,0,0,0,4,0
55425,1,1,0,2,1
4972,0,1,1,0,0
111463,1,0,1,8,1
11036,0,0,0,0,0
4408,0,0,2,3,0
48678,0,0,0,4,0
81090,1,1,2,1,1
45501,0,0,2,0,0
15584,0,0,0,1,0
5392,0,1,0,4,1
23863,0,0,0,2,0
20012,0,0,0,4,0
140917,0,1,3,4,1
122305,1,1,0,0,1
46256,0,1,7,1,1
33231,1,0,0,0,0
111653,1,1,4,4,1
6922,0,0,0,0,0
48977,0,1,0,0,0
144083,1,1,0,0,1
29716,0,0,0,2,0
73051,0,1,0,3,1
95533,0,1,2,0,1
58562,1,0,0,1,0
12652,0,0,0,4,0
54382,1,1,1,4,0
128660,0,1,0,3,1
45096,0,0,6,7,1
20894,0,1,3,4,0
5278,0,0,1,4,0
110864,1,1,2,3,1
84396,1,1,5,4,1
102754,1,1,2,8,1
97859,0,1,2,7,1
52316,0,1,1,2,0
32885,1,0,0,3,0
46706,0,0,1,4,0
46431,0,0,0,1,0
9021,0,0,1,1,0
26352,0,1,1,1,0
37192,1,1,1,5,1
3361,0,0,1,3,0
137881,1,1,4,5,1
56470,0,1,0,0,0
32531,1,1,7,3,1
11560,1,1,0,3,1
16235,1,1,0,4,0
54450,1,1,1,8,1
96900,1,0,0,0,1
6329,1,1,6,5,1
40278,0,0,1,4,0
56272,1,0,2,8,1
3864,1,1,6,6,1
36257,1,1,5,4,1
46445,0,1,2,5,1
4400,0,1,1,1,0
4506,0,0,0,3,0
138992,0,1,5,8,1
9313,1,1,7,1,1
33001,0,0,0,4,0
42586,0,0,0,2,0
95971,1,1,6,4,1
3619,0,0,0,0,0
135307,1,1,1,5,1
126320,1,0,5,4,1
22334,1,1,5,7,1
32739,1,0,2,2,0
23138,0,0,3,1,0
57321,0,1,1,4,0
40850,0,0,0,2,0
131216,0,1,3,3,1
89617,1,1,6,0,1
11610,0,0,3,4,0
46222,0,0,1,0,0
42622,0,0,0,0,0
28540,0,0,1,1,0
39530,0,0,1,3,0
29573,0,0,3,0,0
23909,1,0,0,1,0
141870,0,1,6,5,1
29333,1,0,5,1,1
42271,0,0,2,4,0
144721,1,0,5,8,1
143741,1,1,2,0,1
32102,0,1,2,0,0
15899,0,1,0,4,0
121033,1,0,2,0,1
10905,0,0,0,1,0
30064,0,0,0,3,0
51118,0,1,7,6,1
2286,1,0,2,1,0
30706,0,0,0,3,0
39096,1,0,1,0,0
17746,0,0,0,4,1
7267,0,0,0,4,0
56576,0,0,0,3,0
131088,1,1,6,8,1
59918,0,0,0,0,0
42958,0,1,0,6,1
53026,1,0,5,3,1
116832,0,1,2,3,1
77636,1,0,4,8,1
55474,1,1,2,2,1
116799,0,1,0,7,1
20703,0,0,0,0,0
90977,1,1,5,0,1
35770,0,1,5,8,1
50191,0,0,0,1,0
84292,1,1,3,1,1
98901,0,1,6,4,1
96203,1,1,7,2,1
7879,0,0,0,3,0
34407,0,0,1,4,0
36400,1,1,7,6,1
1822,0,1,1,2,0
10358,0,0,1,4,0
85951,1,1,5,3,1
22421,1,1,1,3,0
116499,1,1,6,6,1
46222,0,0,0,4,0
27123,0,1,1,0,0
88133,1,0,1,0,1
38239,0,0,2,3,0
8228,1,1,6,4,1
8993,0,0,0,2,0
47632,1,1,7,6,1
44448,1,0,1,3,0
100520,0,0,5,5,1
121441,0,0,3,7,1
147185,0,1,4,2,1
14620,0,0,0,4,0
129948,1,0,4,7,1
47501,0,1,1,6,1
19747,0,0,0,2,0
30792,0,0,3,1,0
20381,0,0,0,4,0
14238,0,0,3,3,0
147794,1,1,3,8,1
34551,0,0,3,4,0
40082,0,0,2,3,0
37915,0,0,0,4,0
39183,1,0,1,1,0
37188,0,0,0,0,0
8580,1,0,2,3,0
21245,0,0,1,2,0
33013,0,0,0,0,0
54933,0,1,0,1,0
80337,1,1,2,6,1
130205,1,1,6,0,1
43064,1,1,0,0,0
19029,0,0,0,3,0
6823,0,0,2,2,0
3071,0,0,1,0,0
6276,1,1,6,5,1
72070,1,0,2,7,1
122072,1,1,2,5,1
19705,0,0,1,2,0
17579,0,0,0,3,0
26111,0,1,5,3,1
78971,1,0,3,5,1
10518,0,0,2,2,0
37974,1,0,0,3,0
22557,0,1,1,1,0
46722,1,0,0,0,0
130715,1,1,4,5,1
37712,0,1,0,3,0
57299,0,1,7,0,1
24585,0,1,1,4,0
51413,0,0,0,1,0
3109,0,0,1,2,0
22694,1,1,7,6,1
33876,0,1,1,2,0
110162,1,1,2,0,1
45263,0,1,2,3,0
84499,1,0,7,0,1
24718,0,1,0,2,0
20553,0,0,1,4,0
48803,1,1,7,1,1
5935,0,1,1,7,1
1308,1,1,2,0,1
7033,1,1,2,7,1
22428,0,0,0,3,0
32716,1,1,5,7,1
524,1,1,4,7,1
20167,1,0,1,4,0
51088,0,1,1,0,0
43367,1,0,1,2,0
139677,0,1,6,4,1
14240,0,0,6,3,1
130345,0,1,7,6,1
37571,1,0,0,0,0
59697,0,0,0,1,0
113328,0,1,7,5,1
120883,1,0,1,1,1
107265,1,0,5,2,1
57535,1,0,1,3,0
40456,1,1,7,0,1
53650,0,0,2,1,0
55667,0,0,1,4,0
30145,0,1,0,4,0
53106,0,0,0,3,0
26604,0,0,0,3,0
28367,0,1,1,1,0
145974,1,1,2,5,1
83424,1,1,0,5,1
23797,0,1,2,4,1
41760,0,0,0,2,0
41704,0,0,3,4,0
42526,0,1,3,0,0
126197,1,0,2,6,1
66367,1,1,0,8,1
30180,0,0,1,2,0
32695,0,0,1,4,0
117185,1,0,1,1,1
30816,0,0,0,4,0
101512,1,1,3,2,1
94541,1,1,1,2,1
131249,1,1,6,5,1
114462,0,1,7,6,1
7162,0,0,2,4,0
47445,0,0,1,4,0
73204,1,1,3,2,1
122043,1,1,4,6,1
84864,1,1,7,7,1
19809,0,0,0,4,0
14825,0,0,0,4,0
6469,0,1,0,3,0
104867,1,0,3,7,1
47845,0,0,1,4,0
137928,1,1,1,4,1
135028,0,1,7,7,1
31587,0,1,0,8,1
21476,0,0,1,1,0
35418,1,1,3,6,1
14836,0,0,2,1,0
127427,1,1,2,1,1
20478,0,0,3,0,0
33574,0,0,1,4,0
19457,0,0,0,2,0
105209,1,1,6,3,1
137426,0,1,4,7,1
1808,0,1,0,0,0
114014,1,0,6,1,1
40808,1,0,0,4,0
1426,1,0,7,7,1
13422,1,1,7,6,1
8433,0,1,1,5,1
135435,1,0,1,6,1
48552,0,1,0,4,0
96260,0,1,6,3,1
43998,1,0,2,1,0
14796,1,1,4,0,1
48588,0,1,0,3,1
82534,1,1,1,0,1
42650,1,1,2,2,1
19687,1,1,5,6,1
122212,0,0,6,5,1
14796,0,0,3,4,0
23707,0,0,2,0,0
45673,0,0,3,1,0
149342,1,0,7,1,1
49352,1,1,1,0,1
18950,1,0,0,0,0
56805,0,0,1,3,0
105157,1,1,7,7,1
22235,1,1,0,4,0
61725,1,1,1,5,1
136802,1,1,5,8,1
25579,1,0,1,0,1
8372,0,0,1,1,0
41475,0,1,4,7,1
81974,0,1,6,6,1
27173,0,0,0,1,0
47755,0,0,2,0,0
51678,0,0,0,3,0
12553,0,0,0,4,0
16138,0,0,1,1,0
116422,1,1,0,3,1
96698,0,0,7,5,1
149994,1,1,5,1,1
140772,0,1,7,4,1
74058,1,0,7,7,1
51784,1,0,0,1,0
118855,1,1,4,2,1
20544,0,0,0,6,1
34601,0,0,0,3,0
26536,0,0,1,0,0
63056,0,1,3,3,1
32479,1,1,1,5,1
102723,1,1,3,2,1
74298,1,1,6,0,1
52432,1,1,3,8,1
52191,0,0,3,2,0
44480,1,1,1,4,0
34882,1,1,6,5,1
139179,0,0,4,1,1
30033,0,0,0,2,0
9549,0,0,0,1,0
34183,1,0,4,4,1
26118,1,0,3,5,1
21660,0,0,2,1,1
14410,0,1,4,2,1
36858,0,0,1,3,0
84616,1,1,4,4,1
54736,0,1,1,2,0
124960,0,1,7,4,1
18639,0,0,3,2,0
46384,1,0,1,8,1
22287,1,0,2,0,0
19653,0,1,1,4,0
51461,1,0,0,4,1
36477,1,0,5,3,1
45560,0,0,2,3,0
74764,1,1,0,0,1
17670,1,0,5,2,1
56765,0,0,0,3,0
4246,0,0,0,3,0
132195,0,1,7,3,1
91406,1,1,2,6,1
83849,1,1,0,3,1
23025,0,0,0,4,0
40449,1,0,0,0,0
99684,1,1,1,6,1
53654,1,1,2,1,1
39460,0,1,2,0,1
134526,1,0,0,7,1
137858,0,0,4,2,1
72519,1,1,4,6,1
32495,1,1,6,0,1
12842,0,0,1,1,0
92751,1,1,3,8,1
100581,1,1,7,1,1
33869,0,0,1,0,0
2481,0,0,0,2,0
59432,0,0,2,3,0
45078,1,0,2,2,0
46059,0,1,0,6,1
3519,0,0,1,0,0
74641,0,1,7,7,1
135605,0,0,7,7,1
36254,0,1,0,0,0
42792,1,1,7,5,1
7963,0,0,2,3,0
38718,0,0,3,1,0
20410,0,1,0,1,0
149621,1,1,7,8,1
53578,0,0,2,1,0
38630,1,0,0,4,0
5423,0,1,0,1,0
29003,0,0,0,3,0
98257,1,1,4,1,1
8619,1,0,3,1,0
16663,0,0,0,0,0
54561,1,0,4,0,1
7656,1,1,1,2,1
76877,1,1,4,7,1
45628,0,0,1,2,0
37952,1,1,0,4,1
136756,1,1,6,8,1
129284,1,1,0,3,1
42533,1,0,5,6,1
105521,0,1,1,5,1
78847,1,0,5,7,1
135069,1,1,3,2,1
39377,0,0,0,2,0
57637,1,1,0,1,0
15708,0,0,0,1,0
92386,0,1,2,4,1
45825,1,0,4,0,1
1581,1,1,1,3,1
54667,0,0,0,2,0
39643,1,1,1,0,1
5049,0,0,1,2,0
38275,1,0,1,1,0
85268,1,0,6,5,1
30824,1,1,3,3,1
9515,0,0,2,2,0
113878,1,1,7,5,1
12125,0,0,0,0,0
33052,1,1,2,7,1
46523,0,0,3,2,0
27509,1,0,1,3,0
31047,0,0,1,1,0
33600,0,0,2,0,0
42260,0,0,3,1,0
105145,1,0,6,8,1
8175,0,0,2,4,0
20779,0,1,3,1,0
20944,0,0,0,0,0
34437,0,0,3,0,0
64523,1,1,4,1,1
17791,1,0,2,2,0
37274,0,1,0,3,0
18747,0,1,5,7,1
53384,0,0,3,1,0
15003,0,1,4,1,1
59969,1,0,0,2,0
44313,1,1,4,4,1
23326,1,1,0,1,1
52496,1,0,0,2,0
28592,0,0,0,2,0
22561,0,0,3,1,0
31406,0,0,1,0,0
46112,0,0,0,3,0
49906,0,0,0,4,0
53596,0,0,1,3,0
43821,0,0,0,3,0
39285,0,0,0,1,0
66073,1,1,7,3,1
3985,0,0,2,1,0
62400,1,1,1,2,1
99529,1,1,4,0,1
59470,0,0,2,1,0
34251,0,0,0,1,0
55099,0,1,0,1,0
89406,1,1,6,2,1
4419,0,0,1,3,0
50636,0,0,0,3,0
47505,1,1,1,1,0
57924,0,0,1,0,0
28174,0,0,1,2,0
41777,0,0,0,3,0
6463,1,1,3,3,1
8840,1,1,4,0,1
79884,1,0,1,5,1
129319,0,1,0,5,1
123772,1,1,7,6,1
44443,1,0,1,2,0
141703,0,1,1,5,1
8395,0,0,0,4,0
149212,0,1,1,4,1
126902,1,1,6,5,1
17793,1,1,2,1,0
26256,1,1,0,7,1
15901,0,1,3,7,1
30600,0,0,1,4,0
42239,1,0,3,2,0
24601,0,1,1,1,1
74789,1,0,5,4,1
75246,0,1,5,7,1
44598,0,0,5,7,1
53508,1,1,0,0,1
42943,0,0,1,3,0
13950,1,1,4,7,1
28325,0,0,1,3,0
33895,0,1,1,5,1
72195,1,1,6,6,1
39386,1,1,7,2,1
24188,0,0,1,1,0
8053,0,0,0,3,0
137200,1,1,7,0,1
112295,1,1,7,5,1
27022,0,0,3,0,0
45580,0,0,0,1,0
31305,0,0,2,3,0
33371,1,1,0,2,0
49541,1,0,0,1,0
33232,0,0,3,1,0
37721,0,0,1,3,0
73748,1,0,1,3,1
20853,0,0,0,0,0
32241,0,0,0,1,0
72674,1,0,2,7,1
7815,0,0,3,0,0
26705,1,1,0,7,1
55441,1,1,0,5,1
55885,0,0,0,4,0
109188,1,0,7,7,1
32230,0,0,0,2,0
12084,0,0,1,3,0
3416,0,0,3,4,0
79217,1,0,1,5,1
123746,1,1,4,6,1
28974,0,0,3,3,0
37710,0,0,1,0,0
46446,1,1,0,3,1
43631,0,1,0,0,0
50288,1,0,2,1,0
71121,1,1,2,6,1
57887,0,0,1,3,0
6883,0,0,1,1,0
97398,1,0,0,7,1
9047,0,0,1,4,0
6662,0,0,0,4,0
124317,1,1,4,1,1
53417,1,0,1,0,0
117305,0,1,7,6,1
38890,1,0,0,3,0
39446,1,1,0,1,1
101115,0,1,3,6,1
123582,1,1,4,5,1
140149,1,0,3,5,1
126651,1,1,5,0,1
47143,1,0,7,3,1
34787,1,1,6,5,1
55964,0,0,2,0,0
18206,1,1,4,5,1
41742,0,0,0,2,0
5716,0,1,1,4,0
52995,0,0,1,0,0
124668,1,1,2,1,1
62271,1,0,1,5,1
42154,1,0,0,2,0
58804,0,0,3,3,0
128067,0,1,5,8,1
34577,0,0,1,3,0
22055,0,0,1,0,0
6199,1,1,3,2,0
38746,1,0,0,2,0
53735,1,0,1,3,0
5380,0,0,0,3,0
15190,1,1,1,8,1
31928,1,0,1,2,0
137480,0,0,6,3,1
48071,0,1,0,2,0
6325,0,0,3,1,0
28083,1,1,7,2,1
49723,0,0,0,1,0
24458,0,1,0,3,0
10977,1,0,3,1,0
8686,0,0,2,3,0
111601,0,1,3,2,1
61365,1,0,5,1,1
48190,1,0,1,4,0
56273,0,1,7,2,1
58434,1,1,0,3,0
19427,0,0,0,0,0
30106,0,0,0,0,0
42129,1,1,1,1,0
141985,1,1,3,4,1
62494,1,1,1,4,1
34466,0,0,0,4,0
17437,1,0,1,0,0
65289,0,1,3,5,1
5803,0,1,1,4,0
56840,0,0,0,2,0
43355,0,0,0,2,0
132672,1,1,0,8,1
43189,0,1,5,7,1
929,0,0,0,3,0
42008,0,0,2,3,0
110258,1,1,1,7,1
26405,1,0,0,0,0
42123,1,1,7,4,1
13586,0,0,1,0,0
143600,1,1,3,0,1
5235,0,1,4,1,1
122366,0,1,6,6,1
18086,0,0,1,4,0
10266,0,0,2,0,0
11859,0,0,2,4,0
16872,0,0,1,4,0
42614,0,0,0,2,0
42771,1,0,0,5,1
33531,1,1,1,8,1
48954,1,0,5,0,1
43213,1,1,4,2,1
58161,1,0,2,6,1
144,0,1,0,1,0
80715,1,1,2,5,1
29466,0,0,1,2,0
108881,1,1,2,7,1
10594,0,1,1,3,0
24944,0,0,1,2,0
116351,1,1,4,0,1
14411,1,0,2,7,1
52558,1,1,0,0,0
55718,1,0,0,1,0
28950,0,0,3,4,0
22746,1,1,2,0,1
25182,0,0,0,1,0
140649,1,0,7,4,1
50795,0,0,2,2,0
47760,1,0,1,0,0
38131,1,0,1,1,0
100212,1,1,0,8,1
122940,1,1,3,3,1
59011,0,0,2,1,0
49597,0,0,1,2,0
125208,1,1,5,4,1
125777,1,0,0,0,1
26812,0,1,1,3,0
13232,1,1,2,2,1
140428,1,1,7,8,1
146661,1,1,5,8,1
34560,1,1,6,7,1
16617,0,1,2,0,1
100578,1,1,0,4,1
23353,0,0,0,4,0
57836,0,0,1,1,0
11519,0,0,0,3,0
112455,0,1,2,8,1
28500,1,1,4,7,1
6711,1,1,5,3,1
74674,1,0,1,8,1
30165,1,0,2,8,1
8849,0,0,1,4,0
6747,0,1,2,1,0
41478,0,0,1,0,0
112675,1,0,6,4,1
6159,1,0,0,2,0
11970,0,0,1,1,0
6341,0,0,1,2,0
103955,1,1,7,4,1
130609,1,1,0,4,1
65078,1,1,5,7,1
102103,0,0,4,0,1
36973,1,1,6,6,1
52520,1,0,1,1,0
26230,0,0,1,4,0
49408,0,0,1,1,0
26099,1,1,4,6,1
5202,0,1,1,4,0
108556,1,1,4,0,1
72068,1,1,5,3,1
142696,1,0,5,0,1
37301,1,0,1,1,0
30979,1,0,6,3,1
108698,1,1,3,3,1
53375,0,1,7,1,1
29698,0,1,3,1,1
137967,0,1,0,5,1
59061,0,1,1,2,0
49163,1,0,2,3,1
58720,1,0,6,7,1
13943,0,0,0,2,0
6133,0,1,4,5,1
6113,1,0,1,3,0
29579,0,0,0,8,1
93641,1,1,6,0,1
102011,1,1,5,8,1
32119,1,0,2,3,0
58128,0,1,0,0,0
138115,1,1,6,2,1
34894,0,0,2,4,0
46082,1,1,2,0,0
3276,1,1,2,7,1
6006,0,0,2,3,0
76314,1,0,4,4,1
129016,1,1,0,0,1
14764,0,1,3,2,0
25825,1,0,0,2,0
41272,0,0,0,3,0
39030,1,0,2,0,0
5235,0,0,3,1,0
147156,0,1,5,3,1
22128,0,0,3,3,0
32133,1,0,0,3,0
39633,1,1,3,3,1
7874,0,1,1,4,0
29830,0,0,0,2,0
4165,1,1,4,2,1
87404,1,1,6,2,1
3807,0,1,6,7,1
35473,0,0,0,4,0
8464,1,1,0,3,0
7002,1,0,1,3,1
31438,0,0,2,4,0
22374,1,0,3,0,0
47991,0,0,0,2,0
6025,0,0,3,4,0
117459,0,1,6,8,1
132592,1,0,5,8,1
2499,0,0,0,0,0
7367,0,1,1,4,0
99164,1,1,2,0,1
25062,1,1,0,3,0
125438,1,1,5,2,1
51638,1,0,2,7,1
9165,1,0,0,0,0
121792,0,0,4,7,1
28136,0,0,2,2,0
137530,0,0,6,2,1
30896,0,0,0,2,0
4933,0,0,2,0,0
12431,1,1,0,3,0
3243,0,0,0,0,0
14228,0,0,2,2,0
49077,0,0,0,4,0
58741,1,0,0,1,0
16803,1,1,7,3,1
144210,1,1,6,8,1
9240,1,1,1,2,1
3609,0,0,0,1,0
2182,0,0,0,1,0
2223,1,1,3,0,1
114350,1,0,3,0,1
3288,0,0,1,4,0
57990,0,0,0,4,0
47025,1,0,0,3,0
25238,0,1,1,1,0
130509,1,1,3,7,1
24640,0,0,3,3,0
24820,0,0,3,1,0
8514,0,1,0,2,0
47500,0,0,0,0,0
52276,0,0,0,2,0
44513,0,0,2,3,0
34877,1,0,4,3,1
110016,0,0,7,8,1
30563,1,1,7,7,1
4962,0,0,1,1,0
45968,1,0,1,4,1
79250,1,1,4,0,1
43411,1,1,7,4,1
21000,0,0,0,0,0
83115,1,1,6,6,1
40311,1,0,1,2,0
6811,0,0,3,0,0
17991,1,1,6,4,1
24411,0,0,3,0,0
34979,1,0,0,0,0
40529,1,1,0,2,1
20302,0,0,3,2,0
140739,0,1,1,4,1
3422,1,0,0,0,1
22718,0,1,3,4,0
24881,1,1,1,8,1
119928,1,1,7,3,1
89659,1,1,5,2,1
44350,0,0,0,4,0
28177,1,0,0,1,0
16632,0,0,0,4,0
4147,1,1,0,4,0
34796,0,1,0,1,0
21516,1,1,4,1,1
5031,0,1,0,2,0
49019,0,1,1,6,1
32115,1,1,6,4,1
60864,1,1,3,7,1
140869,1,1,5,3,1
114634,1,1,1,3,1
88944,1,1,1,1,1
21947,0,1,2,1,0
130038,0,1,3,3,1
66761,1,0,7,0,1
57764,1,0,1,5,1
11995,1,1,5,8,1
89985,1,0,2,3,1
4617,1,1,6,2,1
125078,1,1,7,7,1
15294,0,0,0,3,0
46554,0,0,1,3,0
19720,0,0,0,0,0
52009,0,1,0,3,0
29370,1,1,1,3,1
49498,0,0,0,4,0
